output3
bld_nm,phone
KICt,0
,0
서울시청,821065532121
포시즌스 서울 호텔,010-7200-9544
세한889타워(위워크 선릉3호점),010-6236-4177
스테이트타워 남산,010-6202-6638
본서버 테스트 건물,010-7179-5492
타워8,010-3729-3227
미래에셋 센터원,010-4198-8161
동대문빌딩,010-3764-0198
서울과학수사연구소,010-8561-4838
디타워돈의문,010-4186-2168
덕산엔터프라이즈(주),010-8949-1562
양정고등학교,010-9003-6029
항진빌딩,010-3422-9182
한국고전번역원,010-2676-2541
한성빌딩,010-3182-8650
종암중앙교회(백이빌딩),02-133-452
송곡고등학교,010-8707-1705
아크밸리 지식산업센터,010-9122-4551
신사샤르망s,010-4022-1903
ㅇㅇㅇ,010-6553-2121
테고사이언스,010-9622-0604
원효빌딩,010-4124-4111
원효빌딩,010-5242-2689
 국제빌딩,010-3639-4636
서울한천초등학교,010-7242-2572
마곡테크노타워1,010-9032-5441
건영빌딩,010-2508-8082
(주)온리정보통신,010-3267-8779
서울전파관리소,010-9600-9523
한국산업인력공단 서울남부지사,010-5486-7754
국립대한민국임시정부기념관,010-8901-5373
팜스빌,010-6801-8284
SIFC Tower One Development YH,010-5290-3759
LG유플러스 독산,010-8735-1650
단암타워,010-9071-3573
오에스비저축은행,010-4518-1487
",서울대명초등학교",010-8729-6447
메가스터디빌딩,010-9197-5840
양천노인종합복지관,010-4556-8229
MASS C&G 마곡사옥,010-7399-8568
문정역SKV1,010-5000-6519
엔캣빌딩,010-5354-7928
세대빌딩,010-4052-2502
서초고등학교,02-580-3894
뉴골든타워,010-5366-3054
동대문구답십리도서관,010-5153-2296
서울강일초등학교,010-3243-6697
세양에이팩스타워 ,010-9590-2084
엠타워 빌딩,010-7202-5470
우성포커스텔(장안동업무시설),010-6254-1482
동아프라임밸리,010-4392-2302
문정역SKV1,010-5000-6519
KB부동산신탁(주),010-9265-9657
서울자곡초등학교,010-3180-8272
우이신설경전철(주),010-7764-1703
성북수도사업소청사(120다산콜재단),010-5392-8623
(재)수림문화재단,010-4288-7287
서울원효초등학교,010-8577-8024
서울이태원초등학교,010-6299-6450
송례중학교,010-9006-9516
삼원빌딩,010-3798-6414
이화여자외국어고등학교 스크랜튼관 볼드윈관,010-3369-0770
박정희대통령기념도서관,010-3356-0557
용산철도고등학교,010-8729-3499
LG서울역빌딩,010-9344-5396
한서그린빌리지,010-4701-7641
서초월드오피스텔,010 5032 6264
서울청파초등학교,02-3272-9041
KI타워,010-5385-7756
김영주뉴딜일자리건물,010-9358-3718
ㅇ,010-9396-7665
삼모스포,010-9111-0085
서울신묵초등학교,010-3791-5872
호반파크1관,010-9223-2586
노원문화재단,010-5855-2035
동욱빌딩,02-379-9002
온무리교회,02-781-225
시립성북청소년센터,010-2529-8041
스톰테크 빌딩,010-7310-6102
대유타워,010-9744-1565
한강중학교,010-3232-5438
독산삼부르네상스플러스오피스텔관리단,010-7666-6432
시청,010-9142-5519
온누리교회,010-7270-4406
서울숲한라시그마밸리2차(지식산업센터),010-7706-9977
서초센트럴아이파크,010-3595-1000
엘리시아지식산업센타,02-890-8888
대륭테크노타운13차,010-2465-4325
신독산디밸리오피스텔,010-8844-2206
내외빌딩관리(주),010-3391-2414
Global Engineering Center,010-4730-1952
구산타워,02-244-6244
그린플러스구로해담채1,010-4822-9124
서소문청사,010-6372-3580
리더스타워 마곡,010-8592-5939
광진캠퍼스시티오피스텔,010-4508-0602
구파발성당,010-3011-9592
북부종합사회복지관,010-9023-1261
해주정씨대종친회(정곡빌딩 동관),010-5789-3249
삼정이오니아오피스텔,010-2483-3585
청담마리산부인과,010-2901-3236
소테츠 호텔즈 더 스프라지르 서울 명동,010-9129-0867
서울교육대학교,010-7939-5740
호반베르디움스테이원,02-532-000
벤쳐캐슬,010-3905-3205
노랑풍선빌딩,010-3217-1838
서초센트럴아이파크(비거주),010-3595-1000
성공타워1,010-9094-5454
KT선릉타워 West,010-9606-2919
유성씨앤에프,010-6308-0328
본방 테스트 2023년 - 2,000-0000-0000
ㅇㅇㅇㅇ,010-6333-0615
솔표빌딩,010-4027-3236
내곡sh플라자,010-7511-6711
밤부타워,010-9548-3201
지호빌딩,010-3615-1312
노벨테크빌딩,010-6434-9441
염광교회,010-8583-4896
퍼시픽오피스텔,010-5211-3447
용운빌딩,010-8770-5422
메인프라자,010-9518-2528
관정빌딩,02-739-7959
도로교통공단 서울특별시지부,010-5236-4010
서초구 보훈회관,010-6210-7002
경문고등학교,010-9590-9856
한미타워빌딩,010-2260-9299
성내도서관,010-3473-5673
남촌빌딩,010-3406-8991
저스트코타워,010-8711-7381
wjddkaqlfeld,010-9950-9900
미래에셋증권빌딩(여의도),010-6208-1835
한국폴리텍대학서울정수캠퍼스 본관동,010-6440-8002
텐즈힐 몰 상가,010-9107-5546
마포자원회수시설,010-3760-5421
(주)아이템풀코리아,010-4185-7002
한국건설기술연구원_임시,010-5206-1368
KICt,031-910-0217
KG TOWER,010-2000-9835
롯데마트본사,010-9041-0321
테헤란오피스빌딩,010-9041-4748
넥서스밸리관리단,010-4103-6839
종로구 장애인복지관 및 푸르메재활센터,010-2544-4711
